Hole Depth,Rate Of Penetration,Bit Depth,Time Of Penetration,Hook Load,Standpipe Pressure,Mud G/L Alarm State,Rotary RPM,Rotary Torque,Weight on Bit,On Bottom ROP,Total Mud Volume,Trip Tank Mud Volume,Line Wear,Pump 1 total strokes,Pump 2 total strokes,Total Pump Output,TotalPumpDisplacement,Block Height,Min Convertible Torque,Pump 3 total strokes,On Bottom Hours,Circulating Hours,Tool Face,Inclination,Azimuth,H2S,Nitrogen Pressure In,Nitrogen Volume In,Hydrocarbon Flow,MWD Temperature,Total Gas Return,MWD General Variable 1,Condensate Out,MWD General Variable 3,MWD General Variable 4,MWD Vibration XY Gamma,MWD Vibration Z Gamma,Over Pull,Fill Strokes,Total Fill Strokes,Min Pressure,Min Hook Load,Min Torque,Min RPM,Min WOB,Surface Stick Slip Index,MWD DYNAMIC INC,MWD DYNAMIC AZI,Pump Total Strokes Rate,Magnetic Toolface,Gravity Toolface,Cement Fluid Temp,MWD Vibration XYZ,Nitrogen Volume Out,Trip Tank 1 Low Threshold,Trip Tank 1 High Threshold,MWD Vibration Count,Trip Tank 2 Low Threshold,Trip Tank 2 High Threshold,Sensor Depth,Bit RPM,PVT Total Mud Gain/Loss,MWD General Variable 2,Flow Data air (cmf),Flow Data pressure (psig),Flow Data temp (F),AutoDriller On Bottom ROP Setpoint,Drilling Activity,AutoDriller Off Bottom ROP Limit,Trip Speed,Pump 4 total strokes,Total Strokes P1+P2+P3+P4,AutoDriller Status,Autodriller Sensitivity,Convertible Torque,MWD Vibration XYZ Gamma,MWD General Variable 5,MWD General Variable 6,MWD General Variable 7,MWD General Variable 8,MWD General Variable 9,MWD General Variable 10,MWD General Variable 0,Relative MSE,Motor RPM,Differential Pressure,AutoDriller WOB,AutoDriller WOB SP,AutoDriller Brake Pos,AutoDriller Diff Press,AutoDriller Diff Press SP,TTS Weight on Bit,Min TTS Weight on Bit,AutoDriller Ticks Per Depth,P1 Rate,P2 Rate,PVT Mud Tanks Included,PVT Monitor Mud Gain/Loss,PVT Mud G/L Threshold,Trip Tank 1 Refill Status,Flow 1 G/L Threshold,Trip Tank Fill,Trip Tank Accum,YYYY/MM/DD,HH:MM:SS
69,128.77,69,0.47,3.8,321,0,19,738.632,5.8,128.77,-999.25,-999.25,8978,0,0,0,0,24.8,1,0,0.1,0.1,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,305,3,446,19,4.8,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,19,-999.25,-999.25,2462,355,86,0,1,0,8.66,0,0,0,0,0.739,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,321.4,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:22:16
70,141.42,70,0.42,20.1,321,0,19,3074.58,6.2,141.42,-999.25,-999.25,8978,0,0,0,0,24,1,0,0.1,0.2,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,11.5,0,0,293,2,440,16,0,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,19,-999.25,-999.25,2463,356,86,0,1,0,8.66,0,0,0,0,3.075,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,321.4,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:22:39
71,150.01,71,0.4,10.3,320,0,19,2680.68,6.4,150.01,-999.25,-999.25,8978,0,0,0,0,22.8,1,0,0.1,0.2,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,1.7,0,0,290,2,457,16,0,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,19,-999.25,-999.25,2605,352,86,0,1,0,4.33,0,0,0,0,2.681,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,319.9,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:22:57
72,158.43,72,0.38,4.3,327,0,19,1004.2,4.5,158.43,-999.25,-999.25,8978,0,0,0,0,21.8,1,0,0.1,0.2,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,315,4,729,19,4.3,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,19,-999.25,-999.25,2438,359,87,0,1,0,8.66,0,0,0,0,1.004,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,326.6,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:23:18
73,4.23,73,14.18,9.8,180,0,18,355.86,0.3,4.23,-999.25,-999.25,8979,0,0,0,0,51.7,0,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0.5,0,0,180,9,295,18,0.2,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,18,-999.25,-999.25,1837,231,84,0,1,0,12.98,0,0,0,0,0.356,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,180.4,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:34:26
74,23.17,74,2.59,9.9,293,0,18,2038.28,6.7,23.17,-999.25,-999.25,8979,0,0,0,0,51.2,0,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0.5,0,0,180,3,297,17,0,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,18,-999.25,-999.25,1957,286,84,0,1,0,12.98,0,0,0,0,2.038,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,293.4,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:34:46
75,34.81,75,1.72,3.9,329,0,235,1144.4,6.3,34.81,-999.25,-999.25,8979,0,0,0,0,50.2,1,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,294,3,466,17,5.5,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,235,-999.25,-999.25,2380,361,87,0,1,0,8.66,0,0,0,0,1.144,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,329.2,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:35:11
76,46.61,76,1.29,3.9,330,0,17,800.943,6.2,46.61,-999.25,-999.25,8979,0,0,0,0,49.2,1,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,328,3,470,17,5.5,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,17,-999.25,-999.25,2473,363,87,0,1,0,4.33,0,0,0,0,0.801,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,330,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:35:35
77,55.9,77,1.07,3.9,329,0,17,703.767,6,55.9,-999.25,-999.25,8979,0,0,0,0,48.2,1,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,328,3,477,17,5.5,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,17,-999.25,-999.25,2484,362,86,0,1,0,4.33,0,0,0,0,0.704,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,328.8,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:35:53
78,67.58,78,0.89,4.1,330,0,17,784.624,6.1,67.58,-999.25,-999.25,8979,0,0,0,0,47.3,1,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,328,3,518,17,5.3,-999.25,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,17,-999.25,-999.25,2469,364,86,0,1,0,8.66,0,0,0,0,0.785,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,330.3,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:36:15
79,77.9,79,0.77,4.7,330,0,252,875.866,6,77.9,-999.25,-999.25,8979,0,0,0,0,46.3,1,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,329,3,553,17,5.1,17.2,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,252,-999.25,-999.25,2473,364,87,0,1,0,8.66,0,0,0,0,0.876,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,329.7,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:36:34
80,94,80,0.64,4.9,333,0,17,1153.3,6.6,94,-999.25,-999.25,8979,0,0,0,0,45.3,1,0,0.1,0.3,1234,2.9,154.06,1,1,0.9,0,-999.25,1,-999.25,0.84,-999.25,-999.25,-999.25,-999.25,0,0,0,329,3,544,17,4.5,17.2,0,0,0,234,26,-999.25,-999.25,0.5,0,0,-999.25,0,0,0,17,-999.25,-999.25,2454,367,87,0,1,0,8.66,0,0,0,0,1.153,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,0,332.9,-999.25,0,-999.25,-999.25,0,0,0,-999.25,-999.25,-999.25,-999.25,-999.25,0,-999.25,0,-999.25,-999.25,7/7/2015,0:36:59
